Total ESG Risk score,Environment Risk Score,Social Risk Score,Governance Risk Score,Controversy Score,Symbol,Sector,Industry
-1.212113419367268,-0.9042553289682893,-0.7960832791969913,-0.32145608183597857,-0.00939566750824297,A,Healthcare,Diagnostics & Research
0.6585680856782419,0.7887290964636299,0.6428266051269828,-0.9029852298811063,-0.00939566750824297,AAL,Industrials,Airlines
-0.6859842460732184,-1.0196860852477385,-0.5193698399039193,1.1547332939708845,1.2527556677657363,AAPL,Technology,Consumer Electronics
1.1700825597141236,-0.6541553570294832,2.1924218651681855,1.6020634078517522,1.2527556677657363,ABBV,Healthcare,Drug Manufacturers - General
0.42473289754755345,-0.6733938164093913,1.3622815472889698,0.6626701687019305,1.2527556677657363,ABT,Healthcare,Medical Devices
0.08859481460968824,-0.8273014914486567,0.22775644618737478,1.8257284647921859,-0.00939566750824297,ACGL,Financial Services,Insurance - Diversified
-1.7674719911776537,-0.961970707108014,-1.294167469924521,-1.0819172754334532,-0.00939566750824297,ACN,Technology,Information Technology Services
-1.2851869156581084,-0.750347653929024,-0.9067686549142201,-0.7240531843287591,-0.00939566750824297,ADBE,Technology,Software - Infrastructure
0.14705361164236022,0.6732983401841809,-0.7130692474090697,0.08114102065680236,-1.2715470027822222,ADI,Technology,Semiconductors
1.4477618456193169,2.077705874917478,0.22775644618737478,-0.8135192071049328,1.2527556677657363,ADM,Consumer Defensive,Farm Products
-1.182884020850932,-0.5772015195098505,-1.045125374560756,-0.5898541501644989,-1.2715470027822222,ADP,Industrials,Staffing & Employment Services
0.7754856797435864,1.3658828778608751,-0.04895699310569717,-0.6793201729406726,-0.00939566750824297,AEE,Utilities,Utilities - Regulated Electric
0.6147239879037382,1.3274059591010585,-0.32567043239876914,-0.6345871615525855,-0.00939566750824297,AEP,Utilities,Utilities - Regulated Electric
0.7024121834527461,1.442836715380508,-0.29799908846946205,-0.6793201729406726,-0.00939566750824297,AES,Utilities,Utilities - Diversified
-0.5252225542333697,-1.058163004007555,-0.04895699310569717,0.9310682370304508,-1.2715470027822222,AFL,Financial Services,Insurance - Life
0.33704470199854497,-0.8080630320687484,0.1170710704701459,2.720388692553921,-0.00939566750824297,AIG,Financial Services,Insurance - Diversified
0.3224300027403772,-0.8080630320687484,0.4214558536925254,2.1835925558968796,-0.00939566750824297,AIZ,Financial Services,Insurance - Specialty
-0.1013962757464965,-1.0966399227673713,0.4491271976218325,1.4678643736874915,-0.00939566750824297,AJG,Financial Services,Insurance Brokers
