Ticker Symbol,Period Ending,Earnings Per Share,Estimated Shares Outstanding,Net Income,Total Revenue,Total Assets,Total Liabilities,Current Ratio,Quick Ratio,Operating Margin,Gross Margin,Research and Development,Cash and Cash Equivalents,Capital Expenditures,Common Stocks,Retained Earnings,Treasury Stock,Total Equity,Short-Term Investments,Long-Term Debt,Interest Expense,Net Cash Flow,Net Cash Flow-Operating
AAL,2012-12-31,-5.6,335000000.0,-1.9110568745966172,0.521269324228107,-0.1224784568794188,0.0179871359440707,-0.910817552002666,-0.671330367870686,-1.2976912149986963,0.4631652310117774,-0.3392145448747636,-0.1482469339198118,-0.7642324796659921,-0.1886319723360042,-1.6720136274505148,0.3785988375344395,-1.665883793965675,1.79599796746823,0.308055085126769,1.4207195718867394,0.1312278969402694,-0.2807634710355098
AAL,2013-12-31,-11.25,163022222.222,-1.883680940280222,0.6106828458854301,0.1710403493141941,0.3670441478448932,-0.6925034332752777,-0.44644412227990987,-0.9748043424608828,0.5031695808082174,-0.3392145448747636,-0.0929797692314002,-1.65863920820392,-0.2338591174068185,-1.8773494640999877,0.4412443650451088,-1.0994280860937833,4.657128556917477,1.5593107200635397,2.1859317502982867,0.591752493965671,-0.5457091476865263
AAL,2014-12-31,4.02,716915422.886,1.1902453986749977,1.3640201811624628,0.1858507877980683,0.3010255609931868,-0.8268505832613628,-0.5963682860070939,-0.5711957517886161,0.6631869799939772,-0.3392145448747636,-0.1195995751819132,-3.261421902003128,-0.2331176887991003,-1.5712490402179493,0.4412443650451088,-0.5872900488397443,3.5599254664327904,1.664126355380569,2.2918316499891707,-0.209938273210298,0.4988717577982188
AAL,2015-12-31,11.39,668129938.543,4.271993433149188,1.285404478857825,0.2670188719916346,0.3283699218021984,-0.9528010363733176,-0.718181669035431,-0.1675871611163494,1.063230477958377,-0.3392145448747636,-0.1642711414330199,-3.87422912220856,-0.2334884031029594,-0.7503535362299815,0.4412443650451088,-0.1977978630998248,3.2889735378724763,2.011537019105274,2.26791876941381,-0.6654896024492483,1.8752862648589912
AAP,2012-12-29,5.29,73283553.8752,-0.4355787499777108,-0.361973213202248,-0.4180020052773548,-0.3548379552619858,-0.5245694957926714,-1.0274002567227483,-0.4904740336541628,0.1431304326402577,-0.3392145448747636,-0.1961160817264827,0.4152886443317534,-0.2357100939259872,-0.5326012632204071,0.4366193498737148,-0.6746192837755969,-0.2815031117402891,-0.6810914325204985,-0.6226668184100139,0.4726029443378678,-0.5412437271920196
AAP,2013-12-28,5.36,73089179.1045,-0.4329141590375817,-0.3482954544080885,-0.4031296350760612,-0.343639103523524,-0.35663555831006516,-0.8587355725296661,-0.5711957517886161,0.1431304326402577,-0.3392145448747636,-0.1624744026387532,0.4703136259793662,-0.2357100939259872,-0.4907042435343262,0.422827945527054,-0.6416933991166073,-0.2815031117402891,-0.6130057782327597,-0.6131802370731887,0.446891149881914,-0.602064396121722
AAP,2015-01-03,6.75,73159259.2593,-0.3663860759930222,-0.189641058228242,-0.3656330454858594,-0.3104844651037006,-0.4741893145478896,-1.1398433795181364,-0.6519174699230695,-0.0568913163419421,-0.3392145448747636,-0.22838948970737,0.4464659411921098,-0.2357100939259872,-0.437385333964129,0.4219481770017406,-0.5892394496852517,-0.2815031117402891,-0.5243464857061843,-0.487500969020685,-1.067130708883065,-0.530945592776617
AAP,2016-01-02,6.45,73395038.7597,-0.3797005571901889,-0.1947010205663952,-0.3629398446622136,-0.3154385310919216,-0.4741893145478896,-1.1585838999840343,-0.7326391880575228,-0.0568913163419421,-0.3392145448747636,-0.2292978987610474,0.4418691575081641,-0.2357100939259872,-0.3863608340452173,0.420810486427194,-0.5399077963560188,-0.2815031117402891,-0.5886258133647365,-0.514829975392526,-0.0785335971031213,-0.5393495827725523
ABC,2013-09-30,1.88,230695212.766,-0.4055714669271422,3.5098105332968736,-0.1942842482819507,-0.1258849234943373,-0.7512803113941899,-0.8774760929955642,-1.2976912149986963,-1.7370740077924207,-0.3392145448747636,-0.1547216294241487,0.4654308655926579,-0.2347199160203795,-0.4437589180278937,0.1823227185118018,-0.5550933573541682,-0.2815031117402891,-0.5607592855086024,-0.4858304835062062,0.0988002016654915,-0.4965747547830079
ABC,2014-09-30,1.22,224778688.525,-0.5095198449503741,5.006822102707422,-0.1534101749479094,-0.0742431028010029,-0.7512803113941899,-0.8962166134614622,-1.2976912149986963,-1.777078357588861,-0.3392145448747636,-0.1169498253085149,0.4201947497554219,-0.2347076824483521,-0.4368156781643076,0.0463590505147765,-0.5941984159117185,-0.2815031117402891,-0.4697632119413287,-0.4525676666258793,0.5097005380641236,-0.202733060227212
ABC,2015-09-30,-0.62,222846774.194,-0.7783221885791778,5.78316049812452,-0.052836834935597,0.0605929119752672,-0.7764704020165809,-0.8868463532285131,-1.3784129331331496,-1.7370740077924207,-0.3392145448747636,-0.0934740996819505,0.4441759389727945,-0.2346932245905016,-0.4822649854322939,-0.267315299151636,-0.738669732564396,-0.2815031117402891,-0.2048997220437558,-0.3657912391436912,0.2922911528187278,0.8646826878874522
ABC,2016-09-30,6.73,212173699.851,0.2424703465946425,6.298798190085801,0.036201237888358,0.1331213999535861,-0.8100571895131022,-0.8962166134614622,-1.2976912149986963,-1.7370740077924207,-0.3392145448747636,-0.0559061627288419,0.2741722731017325,-0.2346828445899935,-0.3546911960419369,-0.3091377605710271,-0.5756070076380425,-0.2815031117402891,-0.1849970557776661,-0.2603149390515709,0.5066002029260498,0.541652666508211
